rbsgk/5/4p/PG3/K1SBR[] w;score:271;eval:38;qs:311;outcome:1.0
rbsgk/5/P3p/1G3/K1SBR[] b;score:-31;eval:0;qs:0;outcome:0.5
rbsgk/5/P4/1G2p/K1SBR[] w;score:279;eval:-8;qs:234;outcome:1.0
rbsgk/P4/5/1G2p/K1SBR[] b;score:-426;eval:0;qs:-426;outcome:0.0
rbsgk/P4/5/1G3/K1SB+p[r] w;score:-426;eval:-1302;qs:-426;outcome:0.0
rbs1k/P1g2/5/1G2p/K1SBR[] w;score:2115;eval:51;qs:327;outcome:1.0
rbsgk/5/PG3/4p/K1SBR[] b;score:-1249;eval:-61;qs:-1363;outcome:0.0
rbsgk/5/PG3/5/K1SB+p[r] w;score:-1249;eval:-1363;qs:-1363;outcome:0.0
rbs1k/2g2/PG3/4p/K1SBR[] w;score:605;eval:-10;qs:276;outcome:1.0
rbs1k/2g2/P3p/1G3/K1SBR[] w;score:277;eval:51;qs:324;outcome:1.0
rbs1k/P1g2/4p/1G3/K1SBR[] b;score:-100;eval:59;qs:59;outcome:0.0
rbs1k/P1g2/5/1G2p/K1SBR[] w;score:2115;eval:51;qs:327;outcome:1.0
rbs1k/Pg3/4p/1G3/K1SBR[] w;score:1636;eval:66;qs:1368;outcome:1.0
rbs1k/2g2/PG2p/5/K1SBR[] b;score:175;eval:-2;qs:-232;outcome:0.5
rbs1k/2g2/PG3/4p/K1SBR[] w;score:605;eval:-10;qs:276;outcome:1.0
rbs1k/1g3/PG2p/5/K1SBR[] w;score:287;eval:5;qs:275;outcome:1.0
rbsgk/5/G3p/P4/K1SBR[] b;score:113;eval:-8;qs:-8;outcome:1.0
rbsgk/5/G4/P3p/K1SBR[] w;score:251;eval:-16;qs:226;outcome:1.0
rbsgk/G4/5/P3p/K1SBR[] b;score:-970;eval:-12;qs:-970;outcome:0.0
rbsgk/G4/5/P4/K1SB+p[r] w;score:-950;eval:-1314;qs:-970;outcome:0.0
rbs1k/G1g2/5/P3p/K1SBR[] w;score:1650;eval:39;qs:325;outcome:1.0
rbsgk/1G3/5/P3p/K1SBR[] b;score:-970;eval:-30;qs:-970;outcome:0.0
rbsgk/1G3/5/P4/K1SB+p[r] w;score:-950;eval:-1332;qs:-970;outcome:0.0
rbs1k/1Gg2/5/P3p/K1SBR[] w;score:1650;eval:21;qs:307;outcome:1.0
rbs1k/2g2/G3p/P4/K1SBR[] w;score:290;eval:43;qs:316;outcome:1.0
rbs1k/G1g2/4p/P4/K1SBR[] b;score:-548;eval:47;qs:-547;outcome:0.0
rbs1k/G1g2/5/P3p/K1SBR[] w;score:1650;eval:39;qs:325;outcome:1.0
rbs1k/Gg3/4p/P4/K1SBR[] w;score:1330;eval:54;qs:1115;outcome:1.0
rbs1k/1Gg2/4p/P4/K1SBR[] b;score:-624;eval:29;qs:-558;outcome:0.0
rbs1k/1Gg2/5/P3p/K1SBR[] w;score:1650;eval:21;qs:307;outcome:1.0
rbs1k/1g3/4p/P4/K1SBR[g] w;score:-594;eval:-829;qs:-556;outcome:0.0
rbs1k/2g1p/5/PG3/K1SBR[] w;score:53;eval:51;qs:51;outcome:0.5
rbs1k/2g1p/P4/1G3/K1SBR[] b;score:-39;eval:13;qs:13;outcome:0.5
rbs1k/2g2/P3p/1G3/K1SBR[] w;score:277;eval:51;qs:324;outcome:1.0
