FEN,Eval
5/4s/5/5/[] w,-290
5/4r/5/5/[] w,-460
5/4b/5/5/[] w,-416
5/4k/5/5/[] w,-9990
5/4+p/5/5/[] w,-330
5/4+s/5/5/[] w,-315
5/4+r/5/5/[] w,-750
5/4+b/5/5/[] w,-710
5/5/P4/5/[] w,124
5/5/G4/5/[] w,363
5/5/S4/5/[] w,310
5/5/R4/5/[] w,482
5/5/B4/5/[] w,438
5/5/K4/5/[] w,10012
5/5/+P4/5/[] w,350
5/5/+S4/5/[] w,335
5/5/+R4/5/[] w,772
5/5/+B4/5/[] w,732
5/5/p4/5/[] w,-104
5/5/g4/5/[] w,-343
5/5/s4/5/[] w,-290
5/5/r4/5/[] w,-462
5/5/b4/5/[] w,-418
5/5/k4/5/[] w,-9992
5/5/+p4/5/[] w,-330
5/5/+s4/5/[] w,-315
5/5/+r4/5/[] w,-752
5/5/+b4/5/[] w,-712
5/5/1P3/5/[] w,124
5/5/1G3/5/[] w,363
5/5/1S3/5/[] w,310
5/5/1R3/5/[] w,488
5/5/1B3/5/[] w,442
5/5/1K3/5/[] w,10010
5/5/1+P3/5/[] w,350
5/5/1+S3/5/[] w,335
5/5/1+R3/5/[] w,778
5/5/1+B3/5/[] w,736
5/5/1p3/5/[] w,-104
5/5/1g3/5/[] w,-343
5/5/1s3/5/[] w,-290
5/5/1r3/5/[] w,-468
5/5/1b3/5/[] w,-422
5/5/1k3/5/[] w,-9990
5/5/1+p3/5/[] w,-330
5/5/1+s3/5/[] w,-315
5/5/1+r3/5/[] w,-758
5/5/1+b3/5/[] w,-716
5/5/2P2/5/[] w,120
5/5/2G2/5/[] w,363
5/5/2S2/5/[] w,310
5/5/2R2/5/[] w,500
5/5/2B2/5/[] w,452
5/5/2K2/5/[] w,10008
5/5/2+P2/5/[] w,350
5/5/2+S2/5/[] w,335
5/5/2+R2/5/[] w,790
5/5/2+B2/5/[] w,746
5/5/2p2/5/[] w,-100
5/5/2g2/5/[] w,-343
5/5/2s2/5/[] w,-290
5/5/2r2/5/[] w,-480
5/5/2b2/5/[] w,-432
5/5/2k2/5/[] w,-9988
5/5/2+p2/5/[] w,-330
5/5/2+s2/5/[] w,-315
5/5/2+r2/5/[] w,-770
5/5/2+b2/5/[] w,-726
5/5/3P1/5/[] w,124
5/5/3G1/5/[] w,363
5/5/3S1/5/[] w,310
5/5/3R1/5/[] w,488
5/5/3B1/5/[] w,442
5/5/3K1/5/[] w,10010
5/5/3+P1/5/[] w,350
5/5/3+S1/5/[] w,335
5/5/3+R1/5/[] w,778
5/5/3+B1/5/[] w,736
5/5/3p1/5/[] w,-104
5/5/3g1/5/[] w,-343
5/5/3s1/5/[] w,-290
5/5/3r1/5/[] w,-468
5/5/3b1/5/[] w,-422
5/5/3k1/5/[] w,-9990
5/5/3+p1/5/[] w,-330
5/5/3+s1/5/[] w,-315
5/5/3+r1/5/[] w,-758
5/5/3+b1/5/[] w,-716
5/5/4P/5/[] w,124
5/5/4G/5/[] w,363
5/5/4S/5/[] w,310
5/5/4R/5/[] w,482
5/5/4B/5/[] w,438
5/5/4K/5/[] w,10012
5/5/4+P/5/[] w,350
5/5/4+S/5/[] w,335
5/5/4+R/5/[] w,772
5/5/4+B/5/[] w,732
5/5/4p/5/[] w,-104
5/5/4g/5/[] w,-343
5/5/4s/5/[] w,-290
5/5/4r/5/[] w,-462
5/5/4b/5/[] w,-418
5/5/4k/5/[] w,-9992
5/5/4+p/5/[] w,-330
5/5/4+s/5/[] w,-315
5/5/4+r/5/[] w,-752
5/5/4+b/5/[] w,-712
5/5/5/P4/[] w,113
5/5/5/G4/[] w,363
5/5/5/S4/[] w,310
5/5/5/R4/[] w,480
5/5/5/B4/[] w,436
5/5/5/K4/[] w,10010
5/5/5/+P4/[] w,350
5/5/5/+S4/[] w,335
5/5/5/+R4/[] w,770
5/5/5/+B4/[] w,730
5/5/5/p4/[] w,-130
5/5/5/g4/[] w,-343
5/5/5/s4/[] w,-290
5/5/5/r4/[] w,-462
5/5/5/b4/[] w,-416
5/5/5/k4/[] w,-9990
5/5/5/+p4/[] w,-330
5/5/5/+s4/[] w,-315
5/5/5/+r4/[] w,-752
5/5/5/+b4/[] w,-710
5/5/5/1P3/[] w,113
5/5/5/1G3/[] w,363
5/5/5/1S3/[] w,310
5/5/5/1R3/[] w,484
5/5/5/1B3/[] w,441
5/5/5/1K3/[] w,10011
5/5/5/1+P3/[] w,350
5/5/5/1+S3/[] w,335
5/5/5/1+R3/[] w,774
5/5/5/1+B3/[] w,735
5/5/5/1p3/[] w,-130
5/5/5/1g3/[] w,-343
5/5/5/1s3/[] w,-290
5/5/5/1r3/[] w,-466
5/5/5/1b3/[] w,-421
5/5/5/1k3/[] w,-9991
5/5/5/1+p3/[] w,-330
5/5/5/1+s3/[] w,-315
5/5/5/1+r3/[] w,-756
5/5/5/1+b3/[] w,-715
5/5/5/2P2/[] w,110
5/5/5/2G2/[] w,363
5/5/5/2S2/[] w,310
5/5/5/2R2/[] w,488
5/5/5/2B2/[] w,442
5/5/5/2K2/[] w,10010
5/5/5/2+P2/[] w,350
5/5/5/2+S2/[] w,335
5/5/5/2+R2/[] w,778
5/5/5/2+B2/[] w,736
5/5/5/2p2/[] w,-125
5/5/5/2g2/[] w,-343
5/5/5/2s2/[] w,-290
5/5/5/2r2/[] w,-470
5/5/5/2b2/[] w,-422
5/5/5/2k2/[] w,-9990
5/5/5/2+p2/[] w,-330
5/5/5/2+s2/[] w,-315
5/5/5/2+r2/[] w,-760
5/5/5/2+b2/[] w,-716
5/5/5/3P1/[] w,113
5/5/5/3G1/[] w,363
5/5/5/3S1/[] w,310
5/5/5/3R1/[] w,484
5/5/5/3B1/[] w,441
5/5/5/3K1/[] w,10011
5/5/5/3+P1/[] w,350
5/5/5/3+S1/[] w,335
5/5/5/3+R1/[] w,774
5/5/5/3+B1/[] w,735
5/5/5/3p1/[] w,-130
5/5/5/3g1/[] w,-343
5/5/5/3s1/[] w,-290
5/5/5/3r1/[] w,-466
5/5/5/3b1/[] w,-421
5/5/5/3k1/[] w,-9991
5/5/5/3+p1/[] w,-330
5/5/5/3+s1/[] w,-315
5/5/5/3+r1/[] w,-756
5/5/5/3+b1/[] w,-715
5/5/5/4P/[] w,113
5/5/5/4G/[] w,363
5/5/5/4S/[] w,310
5/5/5/4R/[] w,480
5/5/5/4B/[] w,436
5/5/5/4K/[] w,10010
5/5/5/4+P/[] w,350
5/5/5/4+S/[] w,335
5/5/5/4+R/[] w,770
5/5/5/4+B/[] w,730
5/5/5/4p/[] w,-130
5/5/5/4g/[] w,-343
5/5/5/4s/[] w,-290
5/5/5/4r/[] w,-462
5/5/5/4b/[] w,-416
5/5/5/4k/[] w,-9990
5/5/5/4+p/[] w,-330
5/5/5/4+s/[] w,-315
5/5/5/4+r/[] w,-752
5/5/5/4+b/[] w,-710
5/5/5/5/P[] w,105
5/5/5/5/G[] w,363
5/5/5/5/S[] w,310
5/5/5/5/R[] w,492
5/5/5/5/B[] w,437
5/5/5/5/K[] w,10006
5/5/5/5/+P[] w,350
5/5/5/5/+S[] w,335
5/5/5/5/+R[] w,782
5/5/5/5/+B[] w,731
5/5/5/5/p[] w,-90
5/5/5/5/g[] w,-343
5/5/5/5/s[] w,-290
5/5/5/5/r[] w,-476
5/5/5/5/b[] w,-417
5/5/5/5/k[] w,-9986
5/5/5/5/+p[] w,-330
5/5/5/5/+s[] w,-315
5/5/5/5/+r[] w,-766
5/5/5/5/+b[] w,-711
5/5/5/5/1P[] w,105
5/5/5/5/1G[] w,363
5/5/5/5/1S[] w,310
5/5/5/5/1R[] w,480
5/5/5/5/1B[] w,436
5/5/5/5/1K[] w,10010
5/5/5/5/1+P[] w,350
5/5/5/5/1+S[] w,335
5/5/5/5/1+R[] w,770
5/5/5/5/1+B[] w,730
5/5/5/5/1p[] w,-90
5/5/5/5/1g[] w,-343
5/5/5/5/1s[] w,-290
5/5/5/5/1r[] w,-464
5/5/5/5/1b[] w,-416
5/5/5/5/1k[] w,-9990
5/5/5/5/1+p[] w,-330
5/5/5/5/1+s[] w,-315
5/5/5/5/1+r[] w,-754
5/5/5/5/1+b[] w,-710
5/5/5/5/2P[] w,103
5/5/5/5/2G[] w,363
5/5/5/5/2S[] w,310
5/5/5/5/2R[] w,482
5/5/5/5/2B[] w,438
5/5/5/5/2K[] w,10012
5/5/5/5/2+P[] w,350
5/5/5/5/2+S[] w,335
5/5/5/5/2+R[] w,772
5/5/5/5/2+B[] w,732
5/5/5/5/2p[] w,-90
5/5/5/5/2g[] w,-343
5/5/5/5/2s[] w,-290
5/5/5/5/2r[] w,-466
5/5/5/5/2b[] w,-418
5/5/5/5/2k[] w,-9992
5/5/5/5/2+p[] w,-330
5/5/5/5/2+s[] w,-315
5/5/5/5/2+r[] w,-756
5/5/5/5/2+b[] w,-712
5/5/5/5/3P[] w,105
5/5/5/5/3G[] w,363
5/5/5/5/3S[] w,310
5/5/5/5/3R[] w,480
5/5/5/5/3B[] w,436
5/5/5/5/3K[] w,10010
5/5/5/5/3+P[] w,350
5/5/5/5/3+S[] w,335
5/5/5/5/3+R[] w,770
5/5/5/5/3+B[] w,730
5/5/5/5/3p[] w,-90
5/5/5/5/3g[] w,-343
5/5/5/5/3s[] w,-290
5/5/5/5/3r[] w,-464
5/5/5/5/3b[] w,-416
5/5/5/5/3k[] w,-9990
