FEN,Eval
+B+S+B2/5/5/5/[] w,1778
+B+Sp2/5/5/5/[] w,963
+B+Sg2/5/5/5/[] w,703
+B+Ss2/5/5/5/[] w,756
+B+Sr2/5/5/5/[] w,584
+B+Sb2/5/5/5/[] w,628
+B+Sk2/5/5/5/[] w,-8946
+B+S+p2/5/5/5/[] w,716
+B+S+s2/5/5/5/[] w,731
+B+S+r2/5/5/5/[] w,294
+B+S+b2/5/5/5/[] w,334
+B+RP2/5/5/5/[] w,1595
+B+RG2/5/5/5/[] w,1848
+B+RS2/5/5/5/[] w,1795
+B+RR2/5/5/5/[] w,1971
+B+RB2/5/5/5/[] w,1923
+B+RK2/5/5/5/[] w,11497
+B+R+P2/5/5/5/[] w,1835
+B+R+S2/5/5/5/[] w,1820
+B+R+R2/5/5/5/[] w,2261
+B+R+B2/5/5/5/[] w,2217
+B+Rp2/5/5/5/[] w,1402
+B+Rg2/5/5/5/[] w,1142
+B+Rs2/5/5/5/[] w,1195
+B+Rr2/5/5/5/[] w,1023
+B+Rb2/5/5/5/[] w,1067
+B+Rk2/5/5/5/[] w,-8507
+B+R+p2/5/5/5/[] w,1155
+B+R+s2/5/5/5/[] w,1170
+B+R+r2/5/5/5/[] w,733
+B+R+b2/5/5/5/[] w,773
+B+BP2/5/5/5/[] w,1551
+B+BG2/5/5/5/[] w,1804
+B+BS2/5/5/5/[] w,1751
+B+BR2/5/5/5/[] w,1927
+B+BB2/5/5/5/[] w,1879
+B+BK2/5/5/5/[] w,11453
+B+B+P2/5/5/5/[] w,1791
+B+B+S2/5/5/5/[] w,1776
+B+B+R2/5/5/5/[] w,2217
+B+B+B2/5/5/5/[] w,2173
+B+Bp2/5/5/5/[] w,1358
+B+Bg2/5/5/5/[] w,1098
+B+Bs2/5/5/5/[] w,1151
+B+Br2/5/5/5/[] w,979
+B+Bb2/5/5/5/[] w,1023
+B+Bk2/5/5/5/[] w,-8551
+B+B+p2/5/5/5/[] w,1111
+B+B+s2/5/5/5/[] w,1126
+B+B+r2/5/5/5/[] w,689
+B+B+b2/5/5/5/[] w,729
+BpP2/5/5/5/[] w,736
+BpG2/5/5/5/[] w,989
+BpS2/5/5/5/[] w,936
+BpR2/5/5/5/[] w,1112
+BpB2/5/5/5/[] w,1064
+BpK2/5/5/5/[] w,10638
+Bp+P2/5/5/5/[] w,976
+Bp+S2/5/5/5/[] w,961
+Bp+R2/5/5/5/[] w,1402
+Bp+B2/5/5/5/[] w,1358
+Bpp2/5/5/5/[] w,543
+Bpg2/5/5/5/[] w,283
+Bps2/5/5/5/[] w,336
+Bpr2/5/5/5/[] w,164
+Bpb2/5/5/5/[] w,208
+Bpk2/5/5/5/[] w,-9366
+Bp+p2/5/5/5/[] w,296
+Bp+s2/5/5/5/[] w,311
+Bp+r2/5/5/5/[] w,-126
+Bp+b2/5/5/5/[] w,-86
+BgP2/5/5/5/[] w,478
+BgG2/5/5/5/[] w,731
+BgS2/5/5/5/[] w,678
+BgR2/5/5/5/[] w,854
+BgB2/5/5/5/[] w,806
+BgK2/5/5/5/[] w,10380
+Bg+P2/5/5/5/[] w,718
+Bg+S2/5/5/5/[] w,703
+Bg+R2/5/5/5/[] w,1144
+Bg+B2/5/5/5/[] w,1100
+Bgp2/5/5/5/[] w,285
+Bgg2/5/5/5/[] w,25
+Bgs2/5/5/5/[] w,78
+Bgr2/5/5/5/[] w,-94
+Bgb2/5/5/5/[] w,-50
+Bgk2/5/5/5/[] w,-9624
+Bg+p2/5/5/5/[] w,38
+Bg+s2/5/5/5/[] w,53
+Bg+r2/5/5/5/[] w,-384
+Bg+b2/5/5/5/[] w,-344
+BsP2/5/5/5/[] w,531
+BsG2/5/5/5/[] w,784
+BsS2/5/5/5/[] w,731
+BsR2/5/5/5/[] w,907
+BsB2/5/5/5/[] w,859
+BsK2/5/5/5/[] w,10433
+Bs+P2/5/5/5/[] w,771
+Bs+S2/5/5/5/[] w,756
+Bs+R2/5/5/5/[] w,1197
+Bs+B2/5/5/5/[] w,1153
+Bsp2/5/5/5/[] w,338
+Bsg2/5/5/5/[] w,78
+Bss2/5/5/5/[] w,131
+Bsr2/5/5/5/[] w,-41
+Bsb2/5/5/5/[] w,3
+Bsk2/5/5/5/[] w,-9571
+Bs+p2/5/5/5/[] w,91
+Bs+s2/5/5/5/[] w,106
+Bs+r2/5/5/5/[] w,-331
+Bs+b2/5/5/5/[] w,-291
+BrP2/5/5/5/[] w,361
+BrG2/5/5/5/[] w,614
+BrS2/5/5/5/[] w,561
+BrR2/5/5/5/[] w,737
+BrB2/5/5/5/[] w,689
+BrK2/5/5/5/[] w,10263
+Br+P2/5/5/5/[] w,601
+Br+S2/5/5/5/[] w,586
+Br+R2/5/5/5/[] w,1027
+Br+B2/5/5/5/[] w,983
+Brp2/5/5/5/[] w,168
+Brg2/5/5/5/[] w,-92
+Brs2/5/5/5/[] w,-39
+Brr2/5/5/5/[] w,-211
+Brb2/5/5/5/[] w,-167
+Brk2/5/5/5/[] w,-9741
+Br+p2/5/5/5/[] w,-79
+Br+s2/5/5/5/[] w,-64
+Br+r2/5/5/5/[] w,-501
+Br+b2/5/5/5/[] w,-461
+BbP2/5/5/5/[] w,405
+BbG2/5/5/5/[] w,658
+BbS2/5/5/5/[] w,605
+BbR2/5/5/5/[] w,781
+BbB2/5/5/5/[] w,733
+BbK2/5/5/5/[] w,10307
+Bb+P2/5/5/5/[] w,645
+Bb+S2/5/5/5/[] w,630
+Bb+R2/5/5/5/[] w,1071
+Bb+B2/5/5/5/[] w,1027
+Bbp2/5/5/5/[] w,212
+Bbg2/5/5/5/[] w,-48
+Bbs2/5/5/5/[] w,5
+Bbr2/5/5/5/[] w,-167
+Bbb2/5/5/5/[] w,-123
+Bbk2/5/5/5/[] w,-9697
+Bb+p2/5/5/5/[] w,-35
+Bb+s2/5/5/5/[] w,-20
+Bb+r2/5/5/5/[] w,-457
+Bb+b2/5/5/5/[] w,-417
+BkP2/5/5/5/[] w,-9169
+BkG2/5/5/5/[] w,-8916
+BkS2/5/5/5/[] w,-8969
+BkR2/5/5/5/[] w,-8793
+BkB2/5/5/5/[] w,-8841
+BkK2/5/5/5/[] w,733
+Bk+P2/5/5/5/[] w,-8929
+Bk+S2/5/5/5/[] w,-8944
+Bk+R2/5/5/5/[] w,-8503
+Bk+B2/5/5/5/[] w,-8547
+Bkp2/5/5/5/[] w,-9362
+Bkg2/5/5/5/[] w,-9622
+Bks2/5/5/5/[] w,-9569
+Bkr2/5/5/5/[] w,-9741
+Bkb2/5/5/5/[] w,-9697
+Bkk2/5/5/5/[] w,-19271
+Bk+p2/5/5/5/[] w,-9609
+Bk+s2/5/5/5/[] w,-9594
+Bk+r2/5/5/5/[] w,-10031
+Bk+b2/5/5/5/[] w,-9991
+B+pP2/5/5/5/[] w,491
+B+pG2/5/5/5/[] w,744
+B+pS2/5/5/5/[] w,691
+B+pR2/5/5/5/[] w,867
+B+pB2/5/5/5/[] w,819
+B+pK2/5/5/5/[] w,10393
+B+p+P2/5/5/5/[] w,731
+B+p+S2/5/5/5/[] w,716
+B+p+R2/5/5/5/[] w,1157
+B+p+B2/5/5/5/[] w,1113
+B+pp2/5/5/5/[] w,298
+B+pg2/5/5/5/[] w,38
+B+ps2/5/5/5/[] w,91
+B+pr2/5/5/5/[] w,-81
+B+pb2/5/5/5/[] w,-37
+B+pk2/5/5/5/[] w,-9611
+B+p+p2/5/5/5/[] w,51
+B+p+s2/5/5/5/[] w,66
+B+p+r2/5/5/5/[] w,-371
+B+p+b2/5/5/5/[] w,-331
+B+sP2/5/5/5/[] w,506
+B+sG2/5/5/5/[] w,759
+B+sS2/5/5/5/[] w,706
+B+sR2/5/5/5/[] w,882
+B+sB2/5/5/5/[] w,834
+B+sK2/5/5/5/[] w,10408
+B+s+P2/5/5/5/[] w,746
+B+s+S2/5/5/5/[] w,731
+B+s+R2/5/5/5/[] w,1172
+B+s+B2/5/5/5/[] w,1128
+B+sp2/5/5/5/[] w,313
+B+sg2/5/5/5/[] w,53
+B+ss2/5/5/5/[] w,106
+B+sr2/5/5/5/[] w,-66
+B+sb2/5/5/5/[] w,-22
+B+sk2/5/5/5/[] w,-9596
+B+s+p2/5/5/5/[] w,66
+B+s+s2/5/5/5/[] w,81
+B+s+r2/5/5/5/[] w,-356
+B+s+b2/5/5/5/[] w,-316
+B+rP2/5/5/5/[] w,71
+B+rG2/5/5/5/[] w,324
+B+rS2/5/5/5/[] w,271
+B+rR2/5/5/5/[] w,447
+B+rB2/5/5/5/[] w,399
+B+rK2/5/5/5/[] w,9973
+B+r+P2/5/5/5/[] w,311
+B+r+S2/5/5/5/[] w,296
+B+r+R2/5/5/5/[] w,737
+B+r+B2/5/5/5/[] w,693
+B+rp2/5/5/5/[] w,-122
+B+rg2/5/5/5/[] w,-382
+B+rs2/5/5/5/[] w,-329
+B+rr2/5/5/5/[] w,-501
+B+rb2/5/5/5/[] w,-457
+B+rk2/5/5/5/[] w,-10031
+B+r+p2/5/5/5/[] w,-369
+B+r+s2/5/5/5/[] w,-354
+B+r+r2/5/5/5/[] w,-791
+B+r+b2/5/5/5/[] w,-751
+B+bP2/5/5/5/[] w,111
+B+bG2/5/5/5/[] w,364
+B+bS2/5/5/5/[] w,311
+B+bR2/5/5/5/[] w,487
+B+bB2/5/5/5/[] w,439
+B+bK2/5/5/5/[] w,10013
+B+b+P2/5/5/5/[] w,351
+B+b+S2/5/5/5/[] w,336
+B+b+R2/5/5/5/[] w,777
+B+b+B2/5/5/5/[] w,733
+B+bp2/5/5/5/[] w,-82
+B+bg2/5/5/5/[] w,-342
+B+bs2/5/5/5/[] w,-289
+B+br2/5/5/5/[] w,-461
+B+bb2/5/5/5/[] w,-417
+B+bk2/5/5/5/[] w,-9991
+B+b+p2/5/5/5/[] w,-329
+B+b+s2/5/5/5/[] w,-314
+B+b+r2/5/5/5/[] w,-751
+B+b+b2/5/5/5/[] w,-711
pPP2/5/5/5/[] w,115
pPG2/5/5/5/[] w,368
pPS2/5/5/5/[] w,315
pPR2/5/5/5/[] w,491
pPB2/5/5/5/[] w,443
pPK2/5/5/5/[] w,10017
pP+P2/5/5/5/[] w,355
pP+S2/5/5/5/[] w,340
pP+R2/5/5/5/[] w,781
pP+B2/5/5/5/[] w,737
pPp2/5/5/5/[] w,-78
pPg2/5/5/5/[] w,-338
pPs2/5/5/5/[] w,-285
pPr2/5/5/5/[] w,-457
pPb2/5/5/5/[] w,-413
pPk2/5/5/5/[] w,-9987
pP+p2/5/5/5/[] w,-325
pP+s2/5/5/5/[] w,-310
pP+r2/5/5/5/[] w,-747
pP+b2/5/5/5/[] w,-707
pGP2/5/5/5/[] w,368
pGG2/5/5/5/[] w,621
pGS2/5/5/5/[] w,568
pGR2/5/5/5/[] w,744
pGB2/5/5/5/[] w,696
pGK2/5/5/5/[] w,10270
pG+P2/5/5/5/[] w,608
pG+S2/5/5/5/[] w,593
pG+R2/5/5/5/[] w,1034
pG+B2/5/5/5/[] w,990
pGp2/5/5/5/[] w,175
pGg2/5/5/5/[] w,-85
pGs2/5/5/5/[] w,-32
pGr2/5/5/5/[] w,-204
pGb2/5/5/5/[] w,-160
pGk2/5/5/5/[] w,-9734
pG+p2/5/5/5/[] w,-72
pG+s2/5/5/5/[] w,-57
pG+r2/5/5/5/[] w,-494
pG+b2/5/5/5/[] w,-454
pSP2/5/5/5/[] w,315
pSG2/5/5/5/[] w,568
pSS2/5/5/5/[] w,515
pSR2/5/5/5/[] w,691
pSB2/5/5/5/[] w,643
pSK2/5/5/5/[] w,10217
pS+P2/5/5/5/[] w,555
pS+S2/5/5/5/[] w,540
pS+R2/5/5/5/[] w,981
pS+B2/5/5/5/[] w,937
pSp2/5/5/5/[] w,122
pSg2/5/5/5/[] w,-138
pSs2/5/5/5/[] w,-85
pSr2/5/5/5/[] w,-257
pSb2/5/5/5/[] w,-213
pSk2/5/5/5/[] w,-9787
pS+p2/5/5/5/[] w,-125
pS+s2/5/5/5/[] w,-110
pS+r2/5/5/5/[] w,-547
pS+b2/5/5/5/[] w,-507
pRP2/5/5/5/[] w,489
pRG2/5/5/5/[] w,742
pRS2/5/5/5/[] w,689
pRR2/5/5/5/[] w,865
pRB2/5/5/5/[] w,817
pRK2/5/5/5/[] w,10391
pR+P2/5/5/5/[] w,729
pR+S2/5/5/5/[] w,714
pR+R2/5/5/5/[] w,1155
pR+B2/5/5/5/[] w,1111
pRp2/5/5/5/[] w,296
pRg2/5/5/5/[] w,36
pRs2/5/5/5/[] w,89
pRr2/5/5/5/[] w,-83
pRb2/5/5/5/[] w,-39
pRk2/5/5/5/[] w,-9613
pR+p2/5/5/5/[] w,49
pR+s2/5/5/5/[] w,64
pR+r2/5/5/5/[] w,-373
pR+b2/5/5/5/[] w,-333
pBP2/5/5/5/[] w,441
pBG2/5/5/5/[] w,694
pBS2/5/5/5/[] w,641
pBR2/5/5/5/[] w,817
pBB2/5/5/5/[] w,769
pBK2/5/5/5/[] w,10343
pB+P2/5/5/5/[] w,681
pB+S2/5/5/5/[] w,666
pB+R2/5/5/5/[] w,1107
pB+B2/5/5/5/[] w,1063
pBp2/5/5/5/[] w,248
pBg2/5/5/5/[] w,-12
pBs2/5/5/5/[] w,41
pBr2/5/5/5/[] w,-131
pBb2/5/5/5/[] w,-87
pBk2/5/5/5/[] w,-9661
pB+p2/5/5/5/[] w,1
pB+s2/5/5/5/[] w,16
pB+r2/5/5/5/[] w,-421
pB+b2/5/5/5/[] w,-381
pKP2/5/5/5/[] w,10015
pKG2/5/5/5/[] w,10268
pKS2/5/5/5/[] w,10215
pKR2/5/5/5/[] w,10391
pKB2/5/5/5/[] w,10343
pKK2/5/5/5/[] w,19917
pK+P2/5/5/5/[] w,10255
pK+S2/5/5/5/[] w,10240
pK+R2/5/5/5/[] w,10681
pK+B2/5/5/5/[] w,10637
pKp2/5/5/5/[] w,9822
pKg2/5/5/5/[] w,9562
pKs2/5/5/5/[] w,9615
pKr2/5/5/5/[] w,9443
pKb2/5/5/5/[] w,9487
pKk2/5/5/5/[] w,-87
pK+p2/5/5/5/[] w,9575
pK+s2/5/5/5/[] w,9590
pK+r2/5/5/5/[] w,9153
pK+b2/5/5/5/[] w,9193
p+PP2/5/5/5/[] w,355
p+PG2/5/5/5/[] w,608
p+PS2/5/5/5/[] w,555
p+PR2/5/5/5/[] w,731
p+PB2/5/5/5/[] w,683
p+PK2/5/5/5/[] w,10257
p+P+P2/5/5/5/[] w,595
p+P+S2/5/5/5/[] w,580
p+P+R2/5/5/5/[] w,1021
p+P+B2/5/5/5/[] w,977
p+Pp2/5/5/5/[] w,162
p+Pg2/5/5/5/[] w,-98
p+Ps2/5/5/5/[] w,-45
p+Pr2/5/5/5/[] w,-217
p+Pb2/5/5/5/[] w,-173
p+Pk2/5/5/5/[] w,-9747
p+P+p2/5/5/5/[] w,-85
p+P+s2/5/5/5/[] w,-70
p+P+r2/5/5/5/[] w,-507
p+P+b2/5/5/5/[] w,-467
p+SP2/5/5/5/[] w,340
p+SG2/5/5/5/[] w,593
p+SS2/5/5/5/[] w,540
p+SR2/5/5/5/[] w,716
p+SB2/5/5/5/[] w,668
p+SK2/5/5/5/[] w,10242
p+S+P2/5/5/5/[] w,580
p+S+S2/5/5/5/[] w,565
p+S+R2/5/5/5/[] w,1006
p+S+B2/5/5/5/[] w,962
p+Sp2/5/5/5/[] w,147
p+Sg2/5/5/5/[] w,-113
p+Ss2/5/5/5/[] w,-60
p+Sr2/5/5/5/[] w,-232
p+Sb2/5/5/5/[] w,-188
p+Sk2/5/5/5/[] w,-9762
p+S+p2/5/5/5/[] w,-100
p+S+s2/5/5/5/[] w,-85
p+S+r2/5/5/5/[] w,-522
p+S+b2/5/5/5/[] w,-482
p+RP2/5/5/5/[] w,779
p+RG2/5/5/5/[] w,1032
p+RS2/5/5/5/[] w,979
p+RR2/5/5/5/[] w,1155
p+RB2/5/5/5/[] w,1107
p+RK2/5/5/5/[] w,10681
p+R+P2/5/5/5/[] w,1019
p+R+S2/5/5/5/[] w,1004
p+R+R2/5/5/5/[] w,1445
p+R+B2/5/5/5/[] w,1401
p+Rp2/5/5/5/[] w,586
p+Rg2/5/5/5/[] w,326
p+Rs2/5/5/5/[] w,379
p+Rr2/5/5/5/[] w,207
p+Rb2/5/5/5/[] w,251
p+Rk2/5/5/5/[] w,-9323
p+R+p2/5/5/5/[] w,339
p+R+s2/5/5/5/[] w,354
p+R+r2/5/5/5/[] w,-83
p+R+b2/5/5/5/[] w,-43
p+BP2/5/5/5/[] w,735
p+BG2/5/5/5/[] w,988
p+BS2/5/5/5/[] w,935
p+BR2/5/5/5/[] w,1111
p+BB2/5/5/5/[] w,1063
p+BK2/5/5/5/[] w,10637
p+B+P2/5/5/5/[] w,975
p+B+S2/5/5/5/[] w,960
p+B+R2/5/5/5/[] w,1401
p+B+B2/5/5/5/[] w,1357
p+Bp2/5/5/5/[] w,542
p+Bg2/5/5/5/[] w,282
p+Bs2/5/5/5/[] w,335
p+Br2/5/5/5/[] w,163
p+Bb2/5/5/5/[] w,207
p+Bk2/5/5/5/[] w,-9367
p+B+p2/5/5/5/[] w,295
p+B+s2/5/5/5/[] w,310
p+B+r2/5/5/5/[] w,-127
p+B+b2/5/5/5/[] w,-87
ppP2/5/5/5/[] w,-80
ppG2/5/5/5/[] w,173
ppS2/5/5/5/[] w,120
ppR2/5/5/5/[] w,296
ppB2/5/5/5/[] w,248
ppK2/5/5/5/[] w,9822
pp+P2/5/5/5/[] w,160
pp+S2/5/5/5/[] w,145
pp+R2/5/5/5/[] w,586
pp+B2/5/5/5/[] w,542
ppp2/5/5/5/[] w,-273
ppg2/5/5/5/[] w,-533
pps2/5/5/5/[] w,-480
ppr2/5/5/5/[] w,-652
ppb2/5/5/5/[] w,-608
ppk2/5/5/5/[] w,-10182
pp+p2/5/5/5/[] w,-520
pp+s2/5/5/5/[] w,-505
pp+r2/5/5/5/[] w,-942
pp+b2/5/5/5/[] w,-902
pgP2/5/5/5/[] w,-338
pgG2/5/5/5/[] w,-85
pgS2/5/5/5/[] w,-138
pgR2/5/5/5/[] w,38
pgB2/5/5/5/[] w,-10
pgK2/5/5/5/[] w,9564
pg+P2/5/5/5/[] w,-98
pg+S2/5/5/5/[] w,-113
pg+R2/5/5/5/[] w,328
pg+B2/5/5/5/[] w,284
pgp2/5/5/5/[] w,-531
pgg2/5/5/5/[] w,-791
pgs2/5/5/5/[] w,-738
pgr2/5/5/5/[] w,-910
pgb2/5/5/5/[] w,-866
pgk2/5/5/5/[] w,-10440
pg+p2/5/5/5/[] w,-778
pg+s2/5/5/5/[] w,-763
pg+r2/5/5/5/[] w,-1200
pg+b2/5/5/5/[] w,-1160
psP2/5/5/5/[] w,-285
psG2/5/5/5/[] w,-32
psS2/5/5/5/[] w,-85
psR2/5/5/5/[] w,91
psB2/5/5/5/[] w,43
psK2/5/5/5/[] w,9617
ps+P2/5/5/5/[] w,-45
ps+S2/5/5/5/[] w,-60
ps+R2/5/5/5/[] w,381
ps+B2/5/5/5/[] w,337
psp2/5/5/5/[] w,-478
psg2/5/5/5/[] w,-738
pss2/5/5/5/[] w,-685
psr2/5/5/5/[] w,-857
psb2/5/5/5/[] w,-813
psk2/5/5/5/[] w,-10387
ps+p2/5/5/5/[] w,-725
ps+s2/5/5/5/[] w,-710
ps+r2/5/5/5/[] w,-1147
ps+b2/5/5/5/[] w,-1107
prP2/5/5/5/[] w,-455
prG2/5/5/5/[] w,-202
prS2/5/5/5/[] w,-255
prR2/5/5/5/[] w,-79
prB2/5/5/5/[] w,-127
prK2/5/5/5/[] w,9447
pr+P2/5/5/5/[] w,-215
pr+S2/5/5/5/[] w,-230
pr+R2/5/5/5/[] w,211
pr+B2/5/5/5/[] w,167
prp2/5/5/5/[] w,-648
prg2/5/5/5/[] w,-908
prs2/5/5/5/[] w,-855
prr2/5/5/5/[] w,-1027
prb2/5/5/5/[] w,-983
prk2/5/5/5/[] w,-10557
pr+p2/5/5/5/[] w,-895
pr+s2/5/5/5/[] w,-880
pr+r2/5/5/5/[] w,-1317
pr+b2/5/5/5/[] w,-1277
pbP2/5/5/5/[] w,-411
pbG2/5/5/5/[] w,-158
pbS2/5/5/5/[] w,-211
pbR2/5/5/5/[] w,-35
pbB2/5/5/5/[] w,-83
pbK2/5/5/5/[] w,9491
pb+P2/5/5/5/[] w,-171
pb+S2/5/5/5/[] w,-186
pb+R2/5/5/5/[] w,255
pb+B2/5/5/5/[] w,211
pbp2/5/5/5/[] w,-604
pbg2/5/5/5/[] w,-864
pbs2/5/5/5/[] w,-811
pbr2/5/5/5/[] w,-983
pbb2/5/5/5/[] w,-939
pbk2/5/5/5/[] w,-10513
pb+p2/5/5/5/[] w,-851
pb+s2/5/5/5/[] w,-836
pb+r2/5/5/5/[] w,-1273
pb+b2/5/5/5/[] w,-1233
pkP2/5/5/5/[] w,-9985
pkG2/5/5/5/[] w,-9732
pkS2/5/5/5/[] w,-9785
pkR2/5/5/5/[] w,-9609
pkB2/5/5/5/[] w,-9657
pkK2/5/5/5/[] w,-83
pk+P2/5/5/5/[] w,-9745
pk+S2/5/5/5/[] w,-9760
pk+R2/5/5/5/[] w,-9319
pk+B2/5/5/5/[] w,-9363
pkp2/5/5/5/[] w,-10178
pkg2/5/5/5/[] w,-10438
pks2/5/5/5/[] w,-10385
pkr2/5/5/5/[] w,-10557
pkb2/5/5/5/[] w,-10513
pkk2/5/5/5/[] w,-20087
pk+p2/5/5/5/[] w,-10425
pk+s2/5/5/5/[] w,-10410
pk+r2/5/5/5/[] w,-10847
pk+b2/5/5/5/[] w,-10807
p+pP2/5/5/5/[] w,-325
p+pG2/5/5/5/[] w,-72
p+pS2/5/5/5/[] w,-125
p+pR2/5/5/5/[] w,51
p+pB2/5/5/5/[] w,3
p+pK2/5/5/5/[] w,9577
p+p+P2/5/5/5/[] w,-85
p+p+S2/5/5/5/[] w,-100
p+p+R2/5/5/5/[] w,341
p+p+B2/5/5/5/[] w,297
p+pp2/5/5/5/[] w,-518
p+pg2/5/5/5/[] w,-778
p+ps2/5/5/5/[] w,-725
p+pr2/5/5/5/[] w,-897
p+pb2/5/5/5/[] w,-853
p+pk2/5/5/5/[] w,-10427
p+p+p2/5/5/5/[] w,-765
p+p+s2/5/5/5/[] w,-750
p+p+r2/5/5/5/[] w,-1187
p+p+b2/5/5/5/[] w,-1147
p+sP2/5/5/5/[] w,-310
p+sG2/5/5/5/[] w,-57
p+sS2/5/5/5/[] w,-110
p+sR2/5/5/5/[] w,66
p+sB2/5/5/5/[] w,18
p+sK2/5/5/5/[] w,9592
p+s+P2/5/5/5/[] w,-70
p+s+S2/5/5/5/[] w,-85
p+s+R2/5/5/5/[] w,356
p+s+B2/5/5/5/[] w,312
p+sp2/5/5/5/[] w,-503
p+sg2/5/5/5/[] w,-763
p+ss2/5/5/5/[] w,-710
p+sr2/5/5/5/[] w,-882
p+sb2/5/5/5/[] w,-838
p+sk2/5/5/5/[] w,-10412
p+s+p2/5/5/5/[] w,-750
p+s+s2/5/5/5/[] w,-735
p+s+r2/5/5/5/[] w,-1172
p+s+b2/5/5/5/[] w,-1132
p+rP2/5/5/5/[] w,-745
p+rG2/5/5/5/[] w,-492
p+rS2/5/5/5/[] w,-545
p+rR2/5/5/5/[] w,-369
p+rB2/5/5/5/[] w,-417
p+rK2/5/5/5/[] w,9157
p+r+P2/5/5/5/[] w,-505
p+r+S2/5/5/5/[] w,-520
p+r+R2/5/5/5/[] w,-79
p+r+B2/5/5/5/[] w,-123
p+rp2/5/5/5/[] w,-938
p+rg2/5/5/5/[] w,-1198
p+rs2/5/5/5/[] w,-1145
p+rr2/5/5/5/[] w,-1317
p+rb2/5/5/5/[] w,-1273
p+rk2/5/5/5/[] w,-10847
p+r+p2/5/5/5/[] w,-1185
p+r+s2/5/5/5/[] w,-1170
p+r+r2/5/5/5/[] w,-1607
p+r+b2/5/5/5/[] w,-1567
p+bP2/5/5/5/[] w,-705
p+bG2/5/5/5/[] w,-452
p+bS2/5/5/5/[] w,-505
p+bR2/5/5/5/[] w,-329
p+bB2/5/5/5/[] w,-377
p+bK2/5/5/5/[] w,9197
p+b+P2/5/5/5/[] w,-465
p+b+S2/5/5/5/[] w,-480
p+b+R2/5/5/5/[] w,-39
p+b+B2/5/5/5/[] w,-83
p+bp2/5/5/5/[] w,-898
p+bg2/5/5/5/[] w,-1158
p+bs2/5/5/5/[] w,-1105
p+br2/5/5/5/[] w,-1277
p+bb2/5/5/5/[] w,-1233
p+bk2/5/5/5/[] w,-10807
p+b+p2/5/5/5/[] w,-1145
p+b+s2/5/5/5/[] w,-1130
p+b+r2/5/5/5/[] w,-1567
p+b+b2/5/5/5/[] w,-1527
gPP2/5/5/5/[] w,-143
gPG2/5/5/5/[] w,110
gPS2/5/5/5/[] w,57
gPR2/5/5/5/[] w,233
gPB2/5/5/5/[] w,185
gPK2/5/5/5/[] w,9759
gP+P2/5/5/5/[] w,97
gP+S2/5/5/5/[] w,82
gP+R2/5/5/5/[] w,523
gP+B2/5/5/5/[] w,479
gPp2/5/5/5/[] w,-336
gPg2/5/5/5/[] w,-596
gPs2/5/5/5/[] w,-543
gPr2/5/5/5/[] w,-715
gPb2/5/5/5/[] w,-671
gPk2/5/5/5/[] w,-10245
gP+p2/5/5/5/[] w,-583
gP+s2/5/5/5/[] w,-568
gP+r2/5/5/5/[] w,-1005
gP+b2/5/5/5/[] w,-965
gGP2/5/5/5/[] w,110
gGG2/5/5/5/[] w,363
gGS2/5/5/5/[] w,310
gGR2/5/5/5/[] w,486
gGB2/5/5/5/[] w,438
gGK2/5/5/5/[] w,10012
gG+P2/5/5/5/[] w,350
gG+S2/5/5/5/[] w,335
gG+R2/5/5/5/[] w,776
gG+B2/5/5/5/[] w,732
gGp2/5/5/5/[] w,-83
gGg2/5/5/5/[] w,-343
gGs2/5/5/5/[] w,-290
gGr2/5/5/5/[] w,-462
gGb2/5/5/5/[] w,-418
gGk2/5/5/5/[] w,-9992
gG+p2/5/5/5/[] w,-330
gG+s2/5/5/5/[] w,-315
gG+r2/5/5/5/[] w,-752
gG+b2/5/5/5/[] w,-712
gSP2/5/5/5/[] w,57
gSG2/5/5/5/[] w,310
gSS2/5/5/5/[] w,257
gSR2/5/5/5/[] w,433
gSB2/5/5/5/[] w,385
gSK2/5/5/5/[] w,9959
gS+P2/5/5/5/[] w,297
gS+S2/5/5/5/[] w,282
gS+R2/5/5/5/[] w,723
gS+B2/5/5/5/[] w,679
gSp2/5/5/5/[] w,-136
gSg2/5/5/5/[] w,-396
gSs2/5/5/5/[] w,-343
gSr2/5/5/5/[] w,-515
gSb2/5/5/5/[] w,-471
gSk2/5/5/5/[] w,-10045
gS+p2/5/5/5/[] w,-383
gS+s2/5/5/5/[] w,-368
gS+r2/5/5/5/[] w,-805
gS+b2/5/5/5/[] w,-765
gRP2/5/5/5/[] w,231
gRG2/5/5/5/[] w,484
gRS2/5/5/5/[] w,431
gRR2/5/5/5/[] w,607
gRB2/5/5/5/[] w,559
gRK2/5/5/5/[] w,10133
gR+P2/5/5/5/[] w,471
gR+S2/5/5/5/[] w,456
gR+R2/5/5/5/[] w,897
gR+B2/5/5/5/[] w,853
gRp2/5/5/5/[] w,38
gRg2/5/5/5/[] w,-222
gRs2/5/5/5/[] w,-169
gRr2/5/5/5/[] w,-341
gRb2/5/5/5/[] w,-297
gRk2/5/5/5/[] w,-9871
gR+p2/5/5/5/[] w,-209
gR+s2/5/5/5/[] w,-194
gR+r2/5/5/5/[] w,-631
gR+b2/5/5/5/[] w,-591
gBP2/5/5/5/[] w,183
gBG2/5/5/5/[] w,436
gBS2/5/5/5/[] w,383
gBR2/5/5/5/[] w,559
